Date,Open,High,Low,Close,Adj Close,Volume
2021-12-16,1.426999,1.465679,1.383132,1.387747,1.387747,189299840
2021-12-17,1.387921,1.402780,1.318742,1.348423,1.348423,176972348
2021-12-18,1.349062,1.400577,1.326988,1.378619,1.378619,158325734
2021-12-19,1.378907,1.420832,1.353528,1.355569,1.355569,156250486
2021-12-20,1.355818,1.357403,1.256715,1.295360,1.295360,204808978
2021-12-21,1.294904,1.361922,1.292009,1.355629,1.355629,234354957
2021-12-22,1.358134,1.415247,1.344716,1.363356,1.363356,245406695
2021-12-23,1.363145,1.486420,1.344846,1.466691,1.466691,315085977
2021-12-24,1.470723,1.648554,1.447510,1.573940,1.573940,541193577
2021-12-25,1.576327,1.599510,1.534435,1.572939,1.572939,291169833
2021-12-26,1.574748,1.641881,1.547604,1.608537,1.608537,429413185
2021-12-27,1.607259,1.724742,1.581062,1.658262,1.658262,435558660
2021-12-28,1.658413,1.660138,1.456420,1.469383,1.469383,497538077
2021-12-29,1.468405,1.637303,1.410525,1.579744,1.579744,578073496
2021-12-30,1.584744,1.761595,1.524015,1.734197,1.734197,850997248
2021-12-31,1.732350,1.781031,1.631590,1.660024,1.660024,596832693
2022-01-01,1.659944,1.764518,1.633372,1.740108,1.740108,312453115
2022-01-02,1.740285,1.777083,1.663432,1.674041,1.674041,328237594
2022-01-03,1.674127,1.833986,1.629512,1.788210,1.788210,670050624
2022-01-04,1.788205,1.831504,1.663569,1.674683,1.674683,735111286
2022-01-05,1.674365,1.798302,1.460952,1.559897,1.559897,716687740
2022-01-06,1.560060,1.602633,1.489800,1.566718,1.566718,555160494
2022-01-07,1.566348,1.567638,1.401365,1.441290,1.441290,571909362
2022-01-08,1.441999,1.467082,1.324646,1.387388,1.387388,344241318
2022-01-09,1.387397,1.440247,1.373146,1.402032,1.402032,216003353
2022-01-10,1.401797,1.448210,1.304712,1.368673,1.368673,393570642
2022-01-11,1.367939,1.449765,1.351716,1.446629,1.446629,365010965
2022-01-12,1.446650,1.501772,1.440911,1.493607,1.493607,455700299
2022-01-13,1.493567,1.497790,1.345791,1.357751,1.357751,555873527
2022-01-14,1.358098,1.409755,1.331008,1.384964,1.384964,419744861
2022-01-15,1.384909,1.414416,1.360128,1.382826,1.382826,214174530
2022-01-16,1.382770,1.445201,1.370084,1.430372,1.430372,272633054
2022-01-17,1.430432,1.441799,1.341295,1.348500,1.348500,349105980
2022-01-18,1.347659,1.360034,1.282933,1.319047,1.319047,310548664
2022-01-19,1.319225,1.321560,1.229181,1.269974,1.269974,316150629
2022-01-20,1.269707,1.324627,1.167778,1.167778,1.167778,220145807
2022-01-21,1.168127,1.189551,1.005562,1.032348,1.032348,615015115
2022-01-22,1.032357,1.059017,0.808160,0.949706,0.949706,799031385
2022-01-23,0.950232,1.002271,0.929339,0.987710,0.987710,391280346
2022-01-24,0.988917,0.989781,0.821556,0.918221,0.918221,401783919
2022-01-25,0.917859,0.940347,0.870916,0.929292,0.929292,299595309
2022-01-26,0.928261,0.989566,0.896010,0.926965,0.926965,376999339
2022-01-27,0.926604,0.954887,0.881050,0.936522,0.936522,309306518
2022-01-28,0.936264,0.983945,0.924106,0.956669,0.956669,278523706
2022-01-29,0.956735,1.005162,0.956735,0.967955,0.967955,222784574
2022-01-30,0.968240,0.987350,0.931806,0.945256,0.945256,192809164
2022-01-31,0.945246,0.968958,0.907208,0.952808,0.952808,221403280
2022-02-01,0.952388,0.989857,0.948500,0.967095,0.967095,207613436
2022-02-02,0.967051,1.028665,0.923541,0.924892,0.924892,324540676
2022-02-03,0.924563,0.939986,0.903040,0.931399,0.931399,225526726
2022-02-04,0.931224,0.997935,0.927768,0.996887,0.996887,236404326
2022-02-05,0.997047,1.041652,0.984636,1.002953,1.002953,252522445
2022-02-06,1.002964,1.028909,0.976645,1.023854,1.023854,223118123
2022-02-07,1.023726,1.097180,1.001850,1.070080,1.070080,431192583
2022-02-08,1.070568,1.100481,0.989292,1.026535,1.026535,382640270
2022-02-09,1.025956,1.044894,0.999863,1.037993,1.037993,264069777
2022-02-10,1.037959,1.047708,0.978209,0.981570,0.981570,354824893
2022-02-11,0.981634,0.994730,0.901262,0.916253,0.916253,283556465
2022-02-12,0.916337,0.939428,0.894116,0.917786,0.917786,180147250
2022-02-13,0.917798,0.933609,0.884969,0.900710,0.900710,149568052
2022-02-14,0.899982,0.908705,0.875691,0.900218,0.900218,169827736
2022-02-15,0.900250,0.972261,0.899857,0.970179,0.970179,193474566
2022-02-16,0.970255,1.005709,0.955889,0.979853,0.979853,299273104
2022-02-17,0.979442,0.987221,0.890718,0.896854,0.896854,240735642
2022-02-18,0.897342,0.924986,0.876812,0.896618,0.896618,170019551
2022-02-19,0.896246,0.916566,0.872935,0.899924,0.899924,132969149
2022-02-20,0.899889,0.900003,0.834112,0.846500,0.846500,155813072
2022-02-21,0.846236,0.877914,0.781683,0.785157,0.785157,256859953
2022-02-22,0.784780,0.818047,0.759810,0.811232,0.811232,245845039
2022-02-23,0.811204,0.846911,0.784347,0.787281,0.787281,233082064
2022-02-24,0.786909,0.791715,0.690422,0.776760,0.776760,424874908
2022-02-25,0.776896,0.838915,0.770814,0.829529,0.829529,241005972
2022-02-26,0.829510,0.879116,0.822640,0.859006,0.859006,231979403
2022-02-27,0.858735,0.860583,0.786642,0.797121,0.797121,235640543
2022-02-28,0.796970,0.867388,0.787162,0.867388,0.867388,276161913
2022-03-01,0.867390,0.893120,0.840275,0.856131,0.856131,372474801
2022-03-02,0.856171,0.857436,0.811191,0.820205,0.820205,333382423
2022-03-03,0.820194,0.849824,0.790475,0.797712,0.797712,414025663
2022-03-04,0.797781,0.808963,0.754002,0.760303,0.760303,280784209
2022-03-05,0.760451,0.776679,0.746316,0.773815,0.773815,177046735
2022-03-06,0.773806,0.781177,0.745678,0.747422,0.747422,173058832
2022-03-07,0.747323,0.771521,0.722601,0.732773,0.732773,214364989
